sl,year,month,day,hour,rh,tDryBulb,iExh,ih,iDn,iDfh
1891,2002,3,20,19,40,21,12,0.00,0,0
1892,2002,3,20,20,40,21,0,0.00,0,0
1893,2002,3,20,21,41,21,0,0.00,0,0
1894,2002,3,20,22,41,20,0,0.00,0,0
1895,2002,3,20,23,41,20,0,0.00,0,0
1896,2002,3,20,0,41,20,0,0.00,0,0
1897,2002,3,21,1,40,20,0,0.00,0,0
1898,2002,3,21,2,40,20,0,0.00,0,0
1899,2002,3,21,3,40,20,0,0.00,0,0
1900,2002,3,21,4,40,20,0,0.00,0,0
1901,2002,3,21,5,39,20,0,0.00,0,0
1902,2002,3,21,6,38,21,0,0.00,0,0
1903,2002,3,21,7,37,21,87,38.20,22,13
1904,2002,3,21,8,37,22,354,209.89,100,112
1905,2002,3,21,9,37,22,606,393.75,125,219
1906,2002,3,21,10,37,23,817,566.31,117,296
1907,2002,3,21,11,39,23,974,705.27,136,353
1908,2002,3,21,12,40,24,1064,788.63,568,312
1909,2002,3,21,13,41,24,1083,775.67,452,330
1910,2002,3,21,14,41,24,1028,668.32,601,274
1911,2002,3,21,15,41,24,903,493.34,308,314
1912,2002,3,21,16,41,24,718,372.47,152,280
1913,2002,3,21,17,44,23,484,232.36,288,170
1914,2002,3,21,18,46,23,219,98.82,23,118
1915,2002,3,21,19,49,22,13,0.00,0,0
1916,2002,3,21,20,50,22,0,0.00,0,0
1917,2002,3,21,21,51,22,0,0.00,0,0
1918,2002,3,21,22,53,22,0,0.00,0,0
1919,2002,3,21,23,52,22,0,0.00,0,0
1920,2002,3,21,0,51,22,0,0.00,0,0
1921,2002,3,22,1,50,22,0,0.00,0,0
1922,2002,3,22,2,45,22,0,0.00,0,0
1923,2002,3,22,3,41,22,0,0.00,0,0
1924,2002,3,22,4,37,22,0,0.00,0,0
1925,2002,3,22,5,36,23,0,0.00,0,0
1926,2002,3,22,6,36,23,0,0.00,0,0
1927,2002,3,22,7,35,23,93,39.17,0,5
1928,2002,3,22,8,36,24,360,208.74,0,31
1929,2002,3,22,9,37,24,612,400.76,0,120
1930,2002,3,22,10,38,24,823,568.16,0,170
1931,2002,3,22,11,38,24,980,696.65,0,118
1932,2002,3,22,12,39,25,1070,772.80,0,129
1933,2002,3,22,13,39,25,1088,750.49,0,141
1934,2002,3,22,14,40,25,1033,653.39,0,122
1935,2002,3,22,15,41,25,908,502.03,0,109
1936,2002,3,22,16,42,24,722,429.87,0,82
1937,2002,3,22,17,44,24,489,294.10,0,84
1938,2002,3,22,18,46,23,224,127.00,67,133
1939,2002,3,22,19,47,22,14,0.00,0,0
1940,2002,3,22,20,47,22,0,0.00,0,0
1941,2002,3,22,21,47,22,0,0.00,0,0
1942,2002,3,22,22,47,23,0,0.00,0,0
1943,2002,3,22,23,50,22,0,0.00,0,0
1944,2002,3,22,0,53,22,0,0.00,0,0
1945,2002,3,23,1,56,22,0,0.00,0,0
1946,2002,3,23,2,56,22,0,0.00,0,0
1947,2002,3,23,3,56,21,0,0.00,0,0
1948,2002,3,23,4,57,21,0,0.00,0,0
1949,2002,3,23,5,54,22,0,0.00,0,0
1950,2002,3,23,6,50,23,0,0.00,0,0
1951,2002,3,23,7,47,23,99,46.57,125,18
1952,2002,3,23,8,46,24,367,228.92,206,109
1953,2002,3,23,9,44,24,619,417.69,80,157
1954,2002,3,23,10,43,25,830,588.57,445,283
1955,2002,3,23,11,42,25,985,720.77,71,269
1956,2002,3,23,12,42,25,1075,798.89,251,397
1957,2002,3,23,13,42,25,1093,814.37,554,331
1958,2002,3,23,14,44,25,1037,765.47,188,383
1959,2002,3,23,15,46,25,912,657.56,166,358
1960,2002,3,23,16,48,24,727,502.85,133,288
1961,2002,3,23,17,49,24,493,320.31,109,202
1962,2002,3,23,18,51,23,228,132.18,109,119
1963,2002,3,23,19,52,23,16,0.00,0,0
1964,2002,3,23,20,52,23,0,0.00,0,0
1965,2002,3,23,21,52,23,0,0.00,0,0
1966,2002,3,23,22,52,22,0,0.00,0,0
1967,2002,3,23,23,53,22,0,0.00,0,0
1968,2002,3,23,0,53,22,0,0.00,0,0
1969,2002,3,24,1,54,21,0,0.00,0,0
1970,2002,3,24,2,54,21,0,0.00,0,0
1971,2002,3,24,3,54,21,0,0.00,0,0
1972,2002,3,24,4,55,21,0,0.00,0,0
1973,2002,3,24,5,53,21,0,0.00,0,0
1974,2002,3,24,6,51,21,0,0.00,0,0
1975,2002,3,24,7,50,21,105,49.78,180,16
1976,2002,3,24,8,48,22,374,232.41,541,65
1977,2002,3,24,9,47,22,625,420.46,582,146
1978,2002,3,24,10,46,23,836,591.48,287,277
1979,2002,3,24,11,45,23,991,723.78,575,271
1980,2002,3,24,12,44,23,1080,801.57,646,285
1981,2002,3,24,13,44,24,1098,817.26,12,235
1982,2002,3,24,14,44,24,1042,768.55,12,221
1983,2002,3,24,15,44,23,917,660.71,535,274
1984,2002,3,24,16,44,23,731,505.91,720,138
1985,2002,3,24,17,45,23,497,322.75,559,129
1986,2002,3,24,18,46,22,232,134.09,182,126
1987,2002,3,24,19,47,22,17,0.00,0,0
1988,2002,3,24,20,48,21,0,0.00,0,0
1989,2002,3,24,21,48,21,0,0.00,0,0
1990,2002,3,24,22,48,21,0,0.00,0,0
1991,2002,3,24,23,50,20,0,0.00,0,0
1992,2002,3,24,0,51,20,0,0.00,0,0
1993,2002,3,25,1,53,20,0,0.00,0,0
1994,2002,3,25,2,54,19,0,0.00,0,0
1995,2002,3,25,3,54,19,0,0.00,0,0
1996,2002,3,25,4,55,19,0,0.00,0,0
1997,2002,3,25,5,53,19,0,0.00,0,0
1998,2002,3,25,6,51,20,0,0.00,0,0
1999,2002,3,25,7,49,20,111,53.03,50,20
2000,2002,3,25,8,48,21,381,236.44,255,108
2001,2002,3,25,9,47,21,632,425.47,160,218
2002,2002,3,25,10,45,22,842,596.39,387,252
2003,2002,3,25,11,44,23,997,728.20,374,331
2004,2002,3,25,12,43,23,1086,805.80,197,391
2005,2002,3,25,13,42,24,1103,820.74,132,396
2006,2002,3,25,14,44,23,1046,771.41,109,397
2007,2002,3,25,15,45,23,921,663.15,31,305
2008,2002,3,25,16,47,23,735,508.05,126,267
2009,2002,3,25,17,48,23,501,324.60,122,194
2010,2002,3,25,18,49,22,236,135.70,42,118
2011,2002,3,25,19,51,22,19,0.00,0,0
2012,2002,3,25,20,51,22,0,0.00,0,0
2013,2002,3,25,21,51,21,0,0.00,0,0
2014,2002,3,25,22,50,21,0,0.00,0,0
2015,2002,3,25,23,50,21,0,0.00,0,0
2016,2002,3,25,0,50,21,0,0.00,0,0
2017,2002,3,26,1,50,21,0,0.00,0,0
2018,2002,3,26,2,51,20,0,0.00,0,0
2019,2002,3,26,3,52,20,0,0.00,0,0
2020,2002,3,26,4,54,20,0,0.00,0,0
2021,2002,3,26,5,52,21,0,0.00,0,0
2022,2002,3,26,6,51,21,0,0.00,0,0
2023,2002,3,26,7,49,21,117,56.23,213,19
2024,2002,3,26,8,48,22,388,240.09,528,75
2025,2002,3,26,9,46,23,638,429.31,652,115
2026,2002,3,26,10,44,23,848,600.21,791,123
2027,2002,3,26,11,45,24,1002,731.85,825,146
2028,2002,3,26,12,46,24,1091,809.19,855,149
2029,2002,3,26,13,47,25,1107,823.80,849,159
2030,2002,3,26,14,47,25,1051,774.13,820,159
2031,2002,3,26,15,47,25,925,665.55,781,157
2032,2002,3,26,16,46,25,739,510.16,694,146
2033,2002,3,26,17,48,24,505,326.44,556,133
2034,2002,3,26,18,50,24,241,137.30,226,128
2035,2002,3,26,19,52,23,20,0.00,0,0
2036,2002,3,26,20,51,23,0,0.00,0,0
2037,2002,3,26,21,49,23,0,0.00,0,0
2038,2002,3,26,22,48,23,0,0.00,0,0
2039,2002,3,26,23,48,22,0,0.00,0,0
2040,2002,3,26,0,48,22,0,0.00,0,0
2041,2002,3,27,1,48,22,0,0.00,0,0
2042,2002,3,27,2,48,22,0,0.00,0,0
2043,2002,3,27,3,48,22,0,0.00,0,0
2044,2002,3,27,4,48,22,0,0.00,0,0
2045,2002,3,27,5,47,22,0,0.00,0,0
2046,2002,3,27,6,47,22,0,0.00,0,0
2047,2002,3,27,7,46,23,124,53.05,229,20
2048,2002,3,27,8,48,23,395,203.54,541,74
2049,2002,3,27,9,49,24,645,349.39,704,103
2050,2002,3,27,10,50,24,854,543.84,610,190
2051,2002,3,27,11,47,25,1008,709.06,754,184
2052,2002,3,27,12,44,25,1096,809.28,849,150
2053,2002,3,27,13,40,26,1112,822.32,837,166
2054,2002,3,27,14,41,25,1055,771.30,844,150
2055,2002,3,27,15,42,25,929,661.91,762,167
2056,2002,3,27,16,43,25,743,499.51,681,150
2057,2002,3,27,17,44,24,509,312.74,576,131
2058,2002,3,27,18,45,24,245,128.87,213,123
2059,2002,3,27,19,45,24,22,0.00,0,0
2060,2002,3,27,20,46,23,0,0.00,0,0
2061,2002,3,27,21,46,23,0,0.00,0,0
2062,2002,3,27,22,46,23,0,0.00,0,0
2063,2002,3,27,23,47,23,0,0.00,0,0
2064,2002,3,27,0,47,23,0,0.00,0,0
2065,2002,3,28,1,48,22,0,0.00,0,0
2066,2002,3,28,2,46,22,0,0.00,0,0
2067,2002,3,28,3,45,22,0,0.00,0,0
2068,2002,3,28,4,43,21,0,0.00,0,0
2069,2002,3,28,5,42,22,0,0.00,0,0
2070,2002,3,28,6,41,22,0,0.00,0,0
2071,2002,3,28,7,40,23,131,62.58,219,22
2072,2002,3,28,8,39,23,401,246.10,548,75
2073,2002,3,28,9,38,24,651,433.03,699,103
2074,2002,3,28,10,37,24,860,605.33,768,126
2075,2002,3,28,11,40,25,1013,737.71,819,150
2076,2002,3,28,12,42,25,1101,815.71,837,169
2077,2002,3,28,13,44,25,1117,829.68,783,195
2078,2002,3,28,14,46,25,1060,779.43,801,167
2079,2002,3,28,15,48,25,934,670.22,793,150
2080,2002,3,28,16,49,25,747,514.27,693,148
2081,2002,3,28,17,48,24,514,330.06,561,133
2082,2002,3,28,18,47,24,249,140.46,189,121
2083,2002,3,28,19,46,24,24,0.00,0,0
2084,2002,3,28,20,46,24,0,0.00,0,0
2085,2002,3,28,21,47,23,0,0.00,0,0
2086,2002,3,28,22,47,23,0,0.00,0,0
2087,2002,3,28,23,48,23,0,0.00,0,0
2088,2002,3,28,0,49,23,0,0.00,0,0
2089,2002,3,29,1,50,22,0,0.00,0,0
2090,2002,3,29,2,50,22,0,0.00,0,0
2091,2002,3,29,3,51,22,0,0.00,0,0
2092,2002,3,29,4,51,22,0,0.00,0,0
2093,2002,3,29,5,50,22,0,0.00,0,0
2094,2002,3,29,6,48,23,0,0.00,0,0
2095,2002,3,29,7,46,24,137,65.69,236,23
2096,2002,3,29,8,45,24,408,250.54,560,74
2097,2002,3,29,9,43,25,657,440.24,677,112
2098,2002,3,29,10,42,26,866,610.85,786,128
2099,2002,3,29,11,42,26,1019,741.79,819,152
2100,2002,3,29,12,43,26,1106,818.22,843,155
2101,2002,3,29,13,43,26,1121,831.84,831,171
2102,2002,3,29,14,44,26,1064,780.62,783,178
2103,2002,3,29,15,44,26,938,670.64,829,135
2104,2002,3,29,16,45,26,751,514.85,718,138
2105,2002,3,29,17,45,26,518,330.55,587,129
2106,2002,3,29,18,46,25,253,141.39,147,123
2107,2002,3,29,19,46,25,25,0.00,0,0
2108,2002,3,29,20,45,25,0,0.00,0,0
2109,2002,3,29,21,45,24,0,0.00,0,0
2110,2002,3,29,22,44,24,0,0.00,0,0
2111,2002,3,29,23,44,24,0,0.00,0,0
2112,2002,3,29,0,44,24,0,0.00,0,0
2113,2002,3,30,1,45,24,0,0.00,0,0
2114,2002,3,30,2,46,24,0,0.00,0,0
2115,2002,3,30,3,48,24,0,0.00,0,0
2116,2002,3,30,4,50,24,0,0.00,0,0
2117,2002,3,30,5,49,24,0,0.00,0,0
2118,2002,3,30,6,48,25,0,0.00,0,0
2119,2002,3,30,7,47,25,144,68.82,248,25
2120,2002,3,30,8,45,26,415,254.13,540,79
2121,2002,3,30,9,42,26,664,444.36,585,139
2122,2002,3,30,10,40,27,872,615.06,716,154
2123,2002,3,30,11,39,27,1024,745.91,784,176
2124,2002,3,30,12,38,27,1111,821.84,849,152
2125,2002,3,30,13,37,28,1126,835.43,837,169
2126,2002,3,30,14,37,28,1068,784.45,831,157
2127,2002,3,30,15,38,28,942,674.73,799,153
2128,2002,3,30,16,39,28,755,518.25,699,146
2129,2002,3,30,17,43,27,521,333.59,572,131
2130,2002,3,30,18,46,26,257,143.59,203,128
2131,2002,3,30,19,50,25,27,0.00,0,0
2132,2002,3,30,20,49,25,0,0.00,0,0
2133,2002,3,30,21,48,25,0,0.00,0,0
2134,2002,3,30,22,47,25,0,0.00,0,0
2135,2002,3,30,23,48,24,0,0.00,0,0
2136,2002,3,30,0,48,24,0,0.00,0,0
2137,2002,3,31,1,49,24,0,0.00,0,0
2138,2002,3,31,2,51,24,0,0.00,0,0
2139,2002,3,31,3,52,23,0,0.00,0,0
2140,2002,3,31,4,54,23,0,0.00,0,0
2141,2002,3,31,5,53,23,0,0.00,0,0
2142,2002,3,31,6,52,24,1,0.00,0,0
2143,2002,3,31,7,51,24,151,72.29,269,26
2144,2002,3,31,8,49,25,421,258.10,520,85
2145,2002,3,31,9,48,25,670,447.90,620,130
2146,2002,3,31,10,46,26,877,618.13,781,131
2147,2002,3,31,11,44,26,1029,748.08,796,164
2148,2002,3,31,12,42,26,1116,823.04,814,173
2149,2002,3,31,13,40,27,1130,836.00,861,158
2150,2002,3,31,14,40,27,1072,783.88,813,174
2151,2002,3,31,15,40,26,946,674.22,737,179
2152,2002,3,31,16,40,26,759,518.13,635,164
2153,2002,3,31,17,41,26,525,334.42,538,132
2154,2002,3,31,18,43,25,261,144.81,276,128
2155,2002,3,31,19,44,25,29,0.00,0,0
2156,2002,3,31,20,44,25,0,0.00,0,0
2157,2002,3,31,21,44,24,0,0.00,0,0
2158,2002,3,31,22,44,24,0,0.00,0,0
2159,2002,3,31,23,44,24,0,0.00,0,0
2160,2002,3,31,0,45,24,0,0.00,0,0
2161,1997,4,1,1,46,23,0,0.00,0,0
2162,1997,4,1,2,47,23,0,0.00,0,0
2163,1997,4,1,3,49,22,0,0.00,0,0
2164,1997,4,1,4,50,22,0,0.00,0,0
2165,1997,4,1,5,47,22,0,0.00,0,0
2166,1997,4,1,6,44,22,1,0.00,10,0
2167,1997,4,1,7,41,23,159,75.46,203,34
2168,1997,4,1,8,43,23,429,261.65,692,52
2169,1997,4,1,9,44,24,677,451.76,831,72
2170,1997,4,1,10,46,24,884,622.33,765,143
2171,1997,4,1,11,44,24,1036,752.77,767,161
2172,1997,4,1,12,43,25,1121,828.40,832,144
2173,1997,4,1,13,42,25,1136,841.07,803,191
2174,1997,4,1,14,42,25,1077,789.45,821,131
2175,1997,4,1,15,42,25,950,679.07,486,216
2176,1997,4,1,16,43,25,764,522.11,353,148
2177,1997,4,1,17,45,24,530,337.04,354,127
2178,1997,4,1,18,47,23,266,146.69,418,52
2179,1997,4,1,19,49,23,31,0.00,31,5
2180,1997,4,1,20,49,23,0,0.00,0,0
2181,1997,4,1,21,49,22,0,0.00,0,0
2182,1997,4,1,22,49,22,0,0.00,0,0
2183,1997,4,1,23,48,22,0,0.00,0,0
2184,1997,4,1,0,47,22,0,0.00,0,0
2185,1997,4,2,1,45,22,0,0.00,0,0
2186,1997,4,2,2,45,21,0,0.00,0,0
2187,1997,4,2,3,45,21,0,0.00,0,0
2188,1997,4,2,4,45,21,0,0.00,0,0
2189,1997,4,2,5,44,21,0,0.00,0,0
2190,1997,4,2,6,43,22,2,0.00,2,0
2191,1997,4,2,7,42,22,166,78.71,242,34
2192,1997,4,2,8,42,23,436,265.20,333,124
2193,1997,4,2,9,43,23,683,455.39,669,113
2194,1997,4,2,10,43,24,890,625.86,664,212
2195,1997,4,2,11,43,24,1041,756.08,751,176
2196,1997,4,2,12,43,24,1126,831.41,825,146
2197,1997,4,2,13,42,24,1140,843.76,918,131
2198,1997,4,2,14,42,24,1081,791.83,904,126
2199,1997,4,2,15,42,24,954,681.18,871,116
2200,1997,4,2,16,42,24,767,524.00,809,99
2201,1997,4,2,17,43,23,534,338.74,692,75
2202,1997,4,2,18,44,23,270,148.23,285,48
2203,1997,4,2,19,45,22,33,0.00,24,6
2204,1997,4,2,20,46,22,0,0.00,0,0
2205,1997,4,2,21,46,21,0,0.00,0,0
2206,1997,4,2,22,47,21,0,0.00,0,0
2207,1997,4,2,23,49,21,0,0.00,0,0
2208,1997,4,2,0,51,20,0,0.00,0,0
2209,1997,4,3,1,53,20,0,0.00,0,0
2210,1997,4,3,2,54,20,0,0.00,0,0
2211,1997,4,3,3,55,20,0,0.00,0,0
2212,1997,4,3,4,57,19,0,0.00,0,0
2213,1997,4,3,5,54,20,0,0.00,0,0
2214,1997,4,3,6,52,20,3,0.00,3,0
2215,1997,4,3,7,50,21,173,81.91,297,35
2216,1997,4,3,8,48,22,442,268.71,626,65
2217,1997,4,3,9,46,22,689,458.98,773,90
2218,1997,4,3,10,44,23,895,629.35,849,110
2219,1997,4,3,11,44,24,1046,759.33,890,122
2220,1997,4,3,12,43,24,1131,834.36,880,122
2221,1997,4,3,13,42,25,1144,846.39,912,130
2222,1997,4,3,14,43,25,1085,794.16,812,144
2223,1997,4,3,15,45,25,958,683.25,491,276
2224,1997,4,3,16,46,25,771,525.85,710,126
2225,1997,4,3,17,47,24,538,340.42,512,133
2226,1997,4,3,18,49,24,274,149.76,317,59
2227,1997,4,3,19,50,23,35,0.00,21,7
2228,1997,4,3,20,50,23,0,0.00,0,0
2229,1997,4,3,21,51,23,0,0.00,0,0
2230,1997,4,3,22,51,23,0,0.00,0,0
2231,1997,4,3,23,51,23,0,0.00,0,0
2232,1997,4,3,0,50,23,0,0.00,0,0
2233,1997,4,4,1,50,23,0,0.00,0,0
2234,1997,4,4,2,50,22,0,0.00,0,0
2235,1997,4,4,3,49,22,0,0.00,0,0
2236,1997,4,4,4,49,22,0,0.00,0,0
2237,1997,4,4,5,48,23,0,0.00,0,0
2238,1997,4,4,6,46,23,4,0.00,6,0
2239,1997,4,4,7,44,24,179,85.09,21,79
2240,1997,4,4,8,43,25,449,272.19,401,81
2241,1997,4,4,9,41,25,695,462.53,754,93
2242,1997,4,4,10,40,26,901,632.78,744,113
2243,1997,4,4,11,40,27,1051,762.53,943,92
2244,1997,4,4,12,40,27,1135,837.26,959,97
2245,1997,4,4,13,40,28,1148,848.60,962,97
2246,1997,4,4,14,41,27,1089,795.03,951,94
2247,1997,4,4,15,42,27,962,682.54,751,150
2248,1997,4,4,16,43,27,775,525.58,874,74
2249,1997,4,4,17,42,27,541,341.16,435,60
2250,1997,4,4,18,42,26,278,151.06,421,60
2251,1997,4,4,19,41,25,37,0.00,90,7
2252,1997,4,4,20,41,25,0,0.00,0,0
2253,1997,4,4,21,40,25,0,0.00,0,0
2254,1997,4,4,22,39,25,0,0.00,0,0
2255,1997,4,4,23,39,25,0,0.00,0,0
2256,1997,4,4,0,39,25,0,0.00,0,0
2257,1997,4,5,1,39,25,0,0.00,0,0
2258,1997,4,5,2,41,25,0,0.00,0,0
2259,1997,4,5,3,42,25,0,0.00,0,0
2260,1997,4,5,4,44,25,0,0.00,0,0
2261,1997,4,5,5,44,25,0,0.00,0,0
2262,1997,4,5,6,45,26,5,0.00,0,0
2263,1997,4,5,7,45,26,186,88.26,0,32
2264,1997,4,5,8,44,27,455,275.64,0,102
2265,1997,4,5,9,43,27,701,466.04,434,142
2266,1997,4,5,10,42,28,906,636.17,327,320
2267,1997,4,5,11,39,28,1055,765.67,524,307
2268,1997,4,5,12,36,29,1139,840.10,121,401
2269,1997,4,5,13,33,29,1152,851.50,25,556
2270,1997,4,5,14,33,29,1093,798.68,92,494
2271,1997,4,5,15,34,29,965,687.27,31,359
2272,1997,4,5,16,34,29,778,529.47,0,203
2273,1997,4,5,17,38,28,545,343.73,0,130
2274,1997,4,5,18,41,27,282,152.80,34,86
2275,1997,4,5,19,45,26,40,0.00,0,8
2276,1997,4,5,20,43,26,0,0.00,0,0
2277,1997,4,5,21,41,26,0,0.00,0,0
2278,1997,4,5,22,40,26,0,0.00,0,0
2279,1997,4,5,23,41,26,0,0.00,0,0
2280,1997,4,5,0,42,25,0,0.00,0,0
2281,1997,4,6,1,43,25,0,0.00,0,0
2282,1997,4,6,2,44,25,0,0.00,0,0
2283,1997,4,6,3,46,25,0,0.00,0,0
2284,1997,4,6,4,47,24,0,0.00,0,0
2285,1997,4,6,5,47,25,0,0.00,0,0
2286,1997,4,6,6,47,25,6,0.00,0,0
2287,1997,4,6,7,48,26,192,90.93,0,34
2288,1997,4,6,8,45,26,461,271.54,0,105
2289,1997,4,6,9,42,27,707,437.23,0,182
2290,1997,4,6,10,39,28,911,508.56,0,246
2291,1997,4,6,11,37,28,1060,451.81,0,293
2292,1997,4,6,12,36,29,1144,260.01,110,254
2293,1997,4,6,13,35,29,1156,335.82,285,254
2294,1997,4,6,14,35,29,1096,378.38,197,240
2295,1997,4,6,15,34,29,969,366.64,112,280
2296,1997,4,6,16,34,29,782,396.07,69,198
2297,1997,4,6,17,35,28,549,309.59,0,132
2298,1997,4,6,18,35,28,286,151.46,0,45
2299,1997,4,6,19,36,27,42,0.00,0,6
2300,1997,4,6,20,37,27,0,0.00,0,0
2301,1997,4,6,21,39,26,0,0.00,0,0
2302,1997,4,6,22,40,26,0,0.00,0,0
2303,1997,4,6,23,42,25,0,0.00,0,0
2304,1997,4,6,0,44,25,0,0.00,0,0
2305,1997,4,7,1,47,24,0,0.00,0,0
2306,1997,4,7,2,47,24,0,0.00,0,0
2307,1997,4,7,3,48,23,0,0.00,0,0
2308,1997,4,7,4,49,22,0,0.00,0,0
2309,1997,4,7,5,48,23,0,0.00,0,0
2310,1997,4,7,6,46,23,8,0.00,0,1
2311,1997,4,7,7,45,23,199,94.56,108,53
2312,1997,4,7,8,44,24,467,282.44,407,110
2313,1997,4,7,9,43,24,712,472.93,154,237
2314,1997,4,7,10,42,25,916,642.78,0,242
2315,1997,4,7,11,43,25,1065,771.78,90,463
2316,1997,4,7,12,44,26,1148,845.60,164,330
2317,1997,4,7,13,45,26,1160,856.39,122,334
2318,1997,4,7,14,44,26,1100,803.00,94,163
2319,1997,4,7,15,44,26,972,691.12,111,260
2320,1997,4,7,16,44,26,785,532.98,0,199
2321,1997,4,7,17,45,25,552,346.97,0,125
2322,1997,4,7,18,45,25,290,155.82,0,52
2323,1997,4,7,19,45,24,44,0.00,1,9
2324,1997,4,7,20,45,24,0,0.00,0,0
2325,1997,4,7,21,45,24,0,0.00,0,0
2326,1997,4,7,22,45,23,0,0.00,0,0
2327,1997,4,7,23,45,23,0,0.00,0,0
2328,1997,4,7,0,45,23,0,0.00,0,0
2329,1997,4,8,1,45,23,0,0.00,0,0
2330,1997,4,8,2,44,22,0,0.00,0,0
2331,1997,4,8,3,44,22,0,0.00,0,0
2332,1997,4,8,4,44,22,0,0.00,0,0
2333,1997,4,8,5,43,23,0,0.00,0,0
2334,1997,4,8,6,43,23,9,0.00,25,1
2335,1997,4,8,7,42,24,205,97.68,308,34
2336,1997,4,8,8,41,24,473,285.79,557,89
2337,1997,4,8,9,40,25,718,476.30,746,90
2338,1997,4,8,10,40,26,921,646.00,889,113
2339,1997,4,8,11,41,26,1069,774.75,524,242
2340,1997,4,8,12,42,26,1152,848.27,756,191
2341,1997,4,8,13,44,27,1164,858.75,872,123
2342,1997,4,8,14,46,26,1104,805.09,774,154
2343,1997,4,8,15,48,26,976,693.00,779,139
2344,1997,4,8,16,50,26,789,534.69,490,118
2345,1997,4,8,17,48,26,556,348.53,612,98
2346,1997,4,8,18,47,25,294,157.31,363,68
2347,1997,4,8,19,46,25,46,0.00,108,11
2348,1997,4,8,20,45,25,0,0.00,0,0
2349,1997,4,8,21,45,25,0,0.00,0,0
2350,1997,4,8,22,44,25,0,0.00,0,0
2351,1997,4,8,23,45,25,0,0.00,0,0
2352,1997,4,8,0,45,25,0,0.00,0,0
2353,1997,4,9,1,45,25,0,0.00,0,0
2354,1997,4,9,2,45,25,0,0.00,0,0
2355,1997,4,9,3,46,25,0,0.00,0,0
2356,1997,4,9,4,46,25,0,0.00,0,0
2357,1997,4,9,5,45,25,0,0.00,0,0
2358,1997,4,9,6,44,26,11,0.00,13,1
2359,1997,4,9,7,43,26,212,100.47,71,38
2360,1997,4,9,8,43,27,479,284.71,546,95
2361,1997,4,9,9,42,27,724,464.37,652,136
2362,1997,4,9,10,41,28,926,635.08,790,127
2363,1997,4,9,11,41,28,1074,769.04,705,238
2364,1997,4,9,12,40,29,1156,847.48,734,168
2365,1997,4,9,13,40,29,1167,859.53,842,182
2366,1997,4,9,14,40,29,1107,806.77,799,179
2367,1997,4,9,15,39,28,979,694.83,798,155
2368,1997,4,9,16,39,28,792,536.32,765,109
2369,1997,4,9,17,41,27,560,350.11,573,98
2370,1997,4,9,18,43,27,297,158.76,434,62
2371,1997,4,9,19,45,26,49,0.00,57,11
2372,1997,4,9,20,46,26,0,0.00,0,0
2373,1997,4,9,21,47,26,0,0.00,0,0
2374,1997,4,9,22,47,26,0,0.00,0,0
2375,1997,4,9,23,48,26,0,0.00,0,0
2376,1997,4,9,0,49,25,0,0.00,0,0
2377,1997,4,10,1,49,25,0,0.00,0,0
2378,1997,4,10,2,49,25,0,0.00,0,0
2379,1997,4,10,3,49,25,0,0.00,0,0
2380,1997,4,10,4,49,24,0,0.00,0,0
2381,1997,4,10,5,47,25,0,0.00,0,0
2382,1997,4,10,6,46,26,13,0.00,27,2
2383,1997,4,10,7,44,26,218,102.35,352,44
2384,1997,4,10,8,43,27,485,290.41,236,86
2385,1997,4,10,9,42,28,729,482.43,714,116
2386,1997,4,10,10,41,28,931,651.64,528,214
2387,1997,4,10,11,42,28,1078,780.16,772,158
2388,1997,4,10,12,43,28,1160,853.04,769,167
2389,1997,4,10,13,45,29,1171,862.44,855,153
2390,1997,4,10,14,47,28,1110,808.32,546,161
2391,1997,4,10,15,48,28,982,695.39,340,199
2392,1997,4,10,16,50,28,796,537.09,461,220
2393,1997,4,10,17,48,27,563,351.11,639,101
2394,1997,4,10,18,46,27,301,159.93,465,62
2395,1997,4,10,19,44,27,51,0.00,50,10
2396,1997,4,10,20,44,27,0,0.00,0,0
2397,1997,4,10,21,44,26,0,0.00,0,0
2398,1997,4,10,22,43,26,0,0.00,0,0
2399,1997,4,10,23,44,26,0,0.00,0,0
2400,1997,4,10,0,45,26,0,0.00,0,0
2401,1997,4,11,1,46,26,0,0.00,0,0
2402,1997,4,11,2,47,26,0,0.00,0,0
2403,1997,4,11,3,47,26,0,0.00,0,0
2404,1997,4,11,4,48,25,0,0.00,0,0
2405,1997,4,11,5,46,26,0,0.00,0,0
2406,1997,4,11,6,45,26,15,0.00,15,3
2407,1997,4,11,7,43,27,224,102.83,251,47
2408,1997,4,11,8,43,27,491,288.58,438,87
2409,1997,4,11,9,42,28,734,482.71,578,144
2410,1997,4,11,10,41,29,936,650.70,123,196
2411,1997,4,11,11,41,29,1083,776.26,138,348
2412,1997,4,11,12,41,29,1164,848.23,447,339
2413,1997,4,11,13,40,29,1175,859.36,595,286
2414,1997,4,11,14,42,28,1114,806.67,799,176
2415,1997,4,11,15,44,28,986,695.60,160,222
2416,1997,4,11,16,45,28,799,537.53,427,140
2417,1997,4,11,17,50,27,567,351.90,313,138
2418,1997,4,11,18,55,26,305,161.41,156,82
2419,1997,4,11,19,60,25,54,0.00,39,10
2420,1997,4,11,20,58,25,0,0.00,0,0
2421,1997,4,11,21,56,25,0,0.00,0,0
2422,1997,4,11,22,55,25,0,0.00,0,0
2423,1997,4,11,23,54,25,0,0.00,0,0
